rank,title,score,user_score,release_date
359,Space Pirates and Zombies,7.5,7.5,2011-06-19
360,Runaway: A Road Adventure,7.8,7.8,2003-08-28
361,Evidence: The Last Ritual,7.2,7.2,2006-10-16
362,Deponia,8.1,8.1,2012-08-06
363,The Raven: Legacy of a Master Thief,6.8,6.8,2013-07-23
364,Where the Water Tastes Like Wine,5.0,5.0,2018-02-28
365,Ankh,6.9,6.9,2006-08-31
366,Bad Mojo: Redux,6.7,6.7,2004-12-10
367,Astrologaster,tbd,tbd,2019-05-09
368,Lifestream,5.8,5.8,2004-09-27
369,Rocketbirds: Hardboiled Chicken,7.4,7.4,2012-10-15
370,Heaven's Hope,6.7,6.7,2016-02-25
371,Milkmaid of the Milky Way,7.1,7.1,2017-01-04
372,Torn,tbd,tbd,2018-08-28
373,Gibbous -  A Cthulhu Adventure,6.4,6.4,2019-08-07
374,Yesterday Origins,7.1,7.1,2016-11-10
375,Cloud Chamber,7.3,7.3,2014-08-07
376,Mini Ninjas,8.0,8.0,2009-09-08
377,Destination: Treasure Island,7.0,7.0,2007-08-21
378,Anna's Quest,6.9,6.9,2015-07-02
379,Sam & Max Episode 103: The Mole the Mob and the Meatball,7.5,7.5,2007-01-25
380,The Walking Dead: The Telltale Series - A New Frontier Episode 5: From The Gallows,6.5,6.5,2017-05-30
381,Virginia,4.9,4.9,2016-09-22
382,Law & Order II: Double or Nothing,6.0,6.0,2003-09-30
383,Niko: Through The Dream,7.8,7.8,2015-07-17
384,The Beast Inside,7.7,7.7,2019-10-17
385,Game of Thrones: Episode Five - A Nest of Vipers,6.7,6.7,2015-07-21
386,Batman: The Telltale Series - Episode 1: Realm of Shadows,6.4,6.4,2016-08-02
387,Minecraft: Story Mode Season Two - Episode 2: Giant Consequences,5.4,5.4,2017-08-15
388,Winds of Change,8.1,8.1,2019-08-21
389,Game of Thrones: Episode Two - The Lost Lords,7.7,7.7,2015-02-03
390,Ladykiller in a Bind,7.4,7.4,2016-10-10
391,The Testament of Sherlock Holmes,7.8,7.8,2012-09-25
392,11-11: Memories Retold,6.9,6.9,2018-11-08
393,The Egyptian Prophecy,5.8,5.8,2004-03-30
394,Superliminal,7.9,7.9,2019-11-12
395,Quarantine Circular,6.8,6.8,2018-05-22
396,Strong Bad's Cool Game for Attractive People Episode 1: Homestar Ruiner,7.6,7.6,2008-08-11
397,Batman: The Telltale Series - Episode 4: Guardian of Gotham,6.8,6.8,2016-11-22
398,Apocalipsis,7.0,7.0,2018-03-01
399,Lightmatter,7.8,7.8,2020-01-15
400,East Side Story - A Carol Reed Mystery,tbd,tbd,2007-09-14
401,A Place for the Unwilling,7.1,7.1,2019-07-25
402,The Council - Episode 1: The Mad Ones,7.5,7.5,2018-03-13
403,Minecraft: Story Mode Season Two - Episode 4: Below the Bedrock,6.5,6.5,2017-11-07
404,The Haunted Island a Frog Detective Game,tbd,tbd,2018-11-22
405,The Book of Unwritten Tales: Critter Chronicles,6.5,6.5,2012-12-05
406,Hector: Badge of Carnage - Episode 2: Senseless Acts of Justice,5.9,5.9,2011-08-25
407,Sherlock Holmes vs. Jack the Ripper,7.6,7.6,2009-05-26
408,AGON: The Mysterious Codex,tbd,tbd,2006-03-16
409,Ceville,7.3,7.3,2009-02-27
410,The Blackwell Deception,7.6,7.6,2011-10-12
411,Minecraft: Story Mode - Episode 3: The Last Place You Look,6.1,6.1,2015-11-24
412,Guard Duty,8.2,8.2,2019-05-02
413,Secrets of the Ark: A Broken Sword Game,5.8,5.8,2007-02-13
414,Batman: The Telltale Series - Episode 3: New World Order,7.2,7.2,2016-10-25
415,Always Sometimes Monsters,7.2,7.2,2014-05-21
416,Monster Prom,7.2,7.2,2018-04-27
417,The Eternal Castle Remastered,6.5,6.5,2019-01-05
418,The Room,8.2,8.2,2014-07-28
419,Kona,7.4,7.4,2016-03-10
420,Draugen,6.9,6.9,2019-05-29
421,Nancy Drew: The White Wolf of Icicle Creek,6.4,6.4,2007-06-07
422,Minoria,7.7,7.7,2019-08-27
423,MacGuffin's Curse,7.4,7.4,2012-04-19
424,Broken Age: Act 2,6.2,6.2,2015-04-28
425,Batman: The Telltale Series - Episode 2: Children of Arkham,7.0,7.0,2016-09-20
426,The Minims,tbd,tbd,2016-04-01
427,Minecraft: Story Mode Season Two - Episode 5: Above and Beyond,7.1,7.1,2017-12-19
428,Windlands 2,tbd,tbd,2018-09-12
429,Dreamfall Chapters Book One: Reborn,7.6,7.6,2014-10-21
430,Wallace & Gromit's Grand Adventures Episode 4: The Bogey Man,7.2,7.2,2009-07-30
431,Lamplight City,7.2,7.2,2018-09-13
432,Layers of Fear,7.5,7.5,2016-02-16
433,The Journey Down: Chapter One,7.4,7.4,2012-05-18
434,Aarklash: Legacy,7.7,7.7,2013-09-12
435,Cognition: An Erica Reed Thriller Episode 1 - The Hangman,6.8,6.8,2012-10-30
436,The Wardrobe,7.1,7.1,2017-02-15
437,Purrfect Date,5.3,5.3,2017-12-15
438,Wallace & Gromit's Grand Adventures Episode 2: The Last Resort,8.6,8.6,2009-05-05
439,Book of Demons,7.8,7.8,2018-12-13
440,Cognition: An Erica Reed Thriller Episode 2 - The Wise Monkey,7.5,7.5,2013-01-30
441,Contradiction - Spot The Liar!,8.1,8.1,2015-07-10
442,A New Beginning: Final Cut,6.7,6.7,2012-12-11
443,Broken Sword 5: The Serpents' Curse - Part II,7.5,7.5,2014-04-17
444,Sherlock Holmes: The Awakened,7.3,7.3,2007-03-01
445,Wild Earth: Photo Safari,6.7,6.7,2006-05-02
446,Primordia,8.7,8.7,2012-12-05
447,Riddle of the Sphinx 2: The Omega Stone,6.9,6.9,2003-03-19
448,The Inner World,7.7,7.7,2013-09-27
449,Qbeh-1: The Atlas Cube,7.8,7.8,2014-05-15
450,Amnesia: Memories,6.0,6.0,2015-08-25
451,Tormentum - Dark Sorrow,8.0,8.0,2015-03-04
452,Gray Matter,7.6,7.6,2011-02-22
453,Homesick,7.1,7.1,2015-05-28
454,The Office Quest,8.1,8.1,2018-05-24
455,The Mage's Tale,7.5,7.5,2017-06-20
456,The Station,6.6,6.6,2018-02-19
457,Marvel's Guardians of the Galaxy - Episode 3: More Than A Feeling,7.0,7.0,2017-08-22
458,Riddle of the Sphinx: An Egyptian Adventure,tbd,tbd,2000-12-05
459,Leisure Suit Larry: Wet Dreams Don't Dry,6.5,6.5,2018-11-07
460,Uru: The Path of the Shell,7.0,7.0,2004-07-07
461,The Low Road,4.8,4.8,2017-07-26
462,Ken Follett's The Pillars of the Earth: Book Three,tbd,tbd,2018-03-29
463,Marvel's Guardians of the Galaxy - Episode 2: Under Pressure,5.8,5.8,2017-06-06
464,Demetrios - The BIG Cynical Adventure,7.7,7.7,2016-05-31
465,Back to the Future: The Game - Episode III: Citizen Brown,5.7,5.7,2011-03-28
466,Conarium,6.4,6.4,2017-06-06
467,Echo: Secrets of the Lost Cavern,6.3,6.3,2005-07-05
468,Dyscourse,4.8,4.8,2015-03-25
469,Apsulov: End of Gods,7.1,7.1,2019-08-08
470,Minecraft: Story Mode Season Two - Episode 3: Jailhouse Block,7.1,7.1,2017-09-19
471,The Council - Episode 3: Ripples,5.7,5.7,2018-07-24
472,Shadow of Destiny,7.5,7.5,2002-12-02
473,Jolly Rover,7.7,7.7,2010-06-07
474,J.U.L.I.A.: Among the Stars,7.8,7.8,2014-09-12
475,Another Lost Phone: Laura's Story,tbd,tbd,2017-09-21
476,The Shattering,6.4,6.4,2020-04-21
477,Gray Dawn,7.5,7.5,2018-06-07
478,Dreamfall Chapters Book Two: Rebels,7.8,7.8,2015-03-12
479,Lilly Looking Through,6.8,6.8,2013-11-01
