rank,title,score,user_score,release_date
410,Portal Knights,8.2,8.2,2017-05-18
411,Convoy,5.3,5.3,2015-04-21
412,Guild of Dungeoneering,5.0,5.0,2015-07-14
413,The Incredible Adventures of Van Helsing,8.2,8.2,2013-05-22
414,Champions Online,6.1,6.1,2009-09-01
415,Septerra Core: Legacy of the Creator,7.7,7.7,1999-10-31
416,Divinity II: Flames of Vengeance,7.9,7.9,2010-11-05
417,Dungeon Siege III,4.7,4.7,2011-06-20
418,FORCED,7.7,7.7,2013-10-24
419,DOFUS,7.4,7.4,2005-09-01
420,Oninaki,3.1,3.1,2019-08-22
421,Divinity II: Ego Draconis,7.7,7.7,2010-01-05
422,Auto Assault,7.9,7.9,2006-04-13
423,Horizons: Empire of Istaria,7.5,7.5,2003-12-08
424,Anarchy Online,7.4,7.4,2001-06-26
425,Vampyr,6.7,6.7,2018-06-04
426,GreedFall,7.7,7.7,2019-09-09
427,Albion Online,4.8,4.8,2017-07-17
428,Lords of Xulima,7.7,7.7,2014-11-14
429,Fallen Earth: Welcome to the Apocalypse,7.0,7.0,2009-09-22
430,God Eater 3,6.2,6.2,2019-02-08
431,Titan Quest: Ragnarok,6.8,6.8,2017-11-17
432,The Bard's Tale IV: Barrows Deep,6.6,6.6,2018-09-18
433,Code Vein,7.7,7.7,2019-09-26
434,Star Wars Galaxies: An Empire Divided,5.7,5.7,2003-07-09
435,Heretic Kingdoms: The Inquisition,6.8,6.8,2005-04-14
436,Star Wars: The Old Republic - Rise of the Hutt Cartel,7.0,7.0,2013-04-14
437,The Fall of the Dungeon Guardians,6.9,6.9,2015-11-06
438,The Elder Scrolls Online,5.8,5.8,2014-04-04
439,The Temple of Elemental Evil,7.6,7.6,2003-09-16
440,Mass Effect 2: Kasumi - Stolen Memory,7.3,7.3,2010-04-06
441,Runes of Magic,5.7,5.7,2009-03-19
442,Overfall,7.9,7.9,2016-05-17
443,Legends of Eisenwald,7.7,7.7,2015-07-02
444,Death's Gambit,7.3,7.3,2018-08-13
445,Anarchy Online: The Notum Wars,8.1,8.1,2002-11-23
446,Sacred 2: Fallen Angel,6.9,6.9,2008-11-11
447,Hellgate: London,6.3,6.3,2007-10-31
448,Dead State,6.5,6.5,2014-12-04
449,Crowntakers,7.4,7.4,2014-11-07
450,The Sims Online,7.6,7.6,2002-12-18
451,I Am Setsuna,7.2,7.2,2016-07-19
452,Global Agenda,7.9,7.9,2010-02-01
453,Deep Sky Derelicts,6.4,6.4,2018-09-26
454,Vampire: The Masquerade - Coteries of New York,7.5,7.5,2019-12-11
455,ATOM RPG: Post-apocalyptic indie game,8.6,8.6,2018-12-19
456,The Warlock of Firetop Mountain,7.3,7.3,2016-08-31
457,Black Prophecy,6.4,6.4,2011-07-13
458,Fallout: New Vegas - Dead Money,6.3,6.3,2011-02-22
459,Wizards & Warriors,7.4,7.4,2000-09-27
460,Vertical Drop Heroes HD,7.9,7.9,2014-05-20
461,Ember,6.6,6.6,2016-09-09
462,Rezrog,tbd,tbd,2017-05-31
463,Swords & Souls: Neverseen,7.4,7.4,2019-07-22
464,Pillars of Eternity II: Deadfire - Beasts of Winter,8.0,8.0,2018-08-02
465,Star Wars Galaxies: Episode III Rage of the Wookiees,4.2,4.2,2005-05-05
466,Grandia II,8.0,8.0,2002-03-10
467,Soulbringer,7.8,7.8,2000-06-30
468,Penny Arcade Adventures: Episode Four,6.9,6.9,2013-06-07
469,LEGO Universe,7.7,7.7,2010-10-26
470,The Bard's Tale,7.6,7.6,2005-06-27
471,EVE Online,7.4,7.4,2003-05-06
472,Baobabs Mausoleum - Ep. 2: 1313 Barnabas Dead End Drive,tbd,tbd,2018-02-27
473,Sword of the Stars: The Pit,7.8,7.8,2013-02-22
474,Baobabs Mausoleum - Ep. 1: Ovnifagos Don't Eat Flamingos,6.7,6.7,2017-07-06
475,Star Wars Galaxies: Trials of Obi-Wan,4.3,4.3,2005-11-01
476,Dragon Age: Origins - Return to Ostagar,7.0,7.0,2010-01-13
477,Final Fantasy Type-0 HD,6.9,6.9,2015-08-18
478,Risen 2: Dark Waters,5.7,5.7,2012-04-24
479,Fall of Light,6.3,6.3,2017-09-28
480,Warhammer: Chaosbane,5.0,5.0,2019-05-31
481,Of Orcs and Men,6.7,6.7,2012-10-11
482,Lost Sphear,6.7,6.7,2018-01-23
483,Allods Online,5.9,5.9,2011-05-11
484,Anima: Gate of Memories,7.7,7.7,2016-06-02
485,Forsaken World,5.3,5.3,2011-03-22
486,Ys VIII: Lacrimosa of DANA,7.3,7.3,2018-04-16
487,Runespell: Overture,6.7,6.7,2011-07-20
488,Sword of the Stars: The Pit - Mind Games,7.9,7.9,2013-07-03
489,Ultima Online: Third Dawn,tbd,tbd,2001-03-26
490,The Matrix Online,7.3,7.3,2005-03-22
491,Lichdom: Battlemage,6.8,6.8,2014-03-19
