rank,title,score,user_score,release_date
561,Pneuma: Breath of Life,6.6,6.6,2015-02-27
562,Will Rock,7.0,7.0,2003-06-09
563,Obscuritas,4.0,4.0,2016-03-17
564,Dead Man's Hand,6.1,6.1,2004-03-18
565,Aura: Fate of the Ages,5.6,5.6,2004-06-29
566,Journey For Elysium,tbd,tbd,2019-10-31
567,PlanetSide: Core Combat,tbd,tbd,2003-10-27
568,Sir You Are Being Hunted,6.4,6.4,2014-05-02
569,The Suicide of Rachel Foster,7.5,7.5,2020-02-19
570,HYPERGUN,tbd,tbd,2018-08-23
571,Warface,4.2,4.2,2013-10-21
572,Star Trek: Voyager Elite Force Expansion Pack,7.5,7.5,2001-05-09
573,Devastation,5.7,5.7,2003-03-28
574,Chrome SpecForce,6.4,6.4,2005-11-30
575,UberSoldier II,6.6,6.6,2008-07-22
576,Tom Clancy's Rainbow Six: Covert Ops Essentials,5.6,5.6,2000-09-28
577,The Old City: Leviathan,5.6,5.6,2014-12-03
578,Nitro Family,5.6,5.6,2004-05-01
579,Commandos Strike Force,7.0,7.0,2006-04-04
580,Euclidean,3.3,3.3,2015-09-25
581,Rise of Insanity,6.5,6.5,2018-03-01
582,Betrayer,7.2,7.2,2013-08-14
583,Mysterious Journey II,4.8,4.8,2003-11-25
584,F.E.A.R. Perseus Mandate,7.2,7.2,2007-11-06
585,Breach (2011),5.6,5.6,2011-01-26
586,Magnetic: Cage Closed,7.4,7.4,2015-05-26
587,CSI: Crime Scene Investigation,6.8,6.8,2003-03-26
588,Earthfall,4.7,4.7,2018-07-12
589,Destiny 2: Curse of Osiris,1.7,1.7,2017-12-05
590,Vietcong 2,6.2,6.2,2005-10-24
591,Far Cry 5: Lost on Mars,4.4,4.4,2018-07-17
592,Shadow Ops: Red Mercury,5.8,5.8,2004-09-21
593,Boiling Point: Road to Hell,7.4,7.4,2005-06-06
