rank,title,score,user_score,release_date
340,Star Hammer: The Vanguard Prophecy,6.1,6.1,2015-06-04
341,Tannenberg,7.3,7.3,2019-02-13
342,Chaos League: Sudden Death,tbd,tbd,2005-12-08
343,Order of War,7.3,7.3,2009-09-22
344,Imperial Glory,8.0,8.0,2005-05-17
345,Armies of Exigo,7.7,7.7,2004-11-30
346,Cossacks II: Battle for Europe,7.9,7.9,2006-06-28
347,Submarine Titans,7.6,7.6,2000-08-09
348,Bloodsports.TV,6.2,6.2,2015-03-30
349,8-Bit Armies,7.2,7.2,2016-04-22
350,Joint Task Force,7.7,7.7,2006-09-12
351,Tom Clancy's EndWar,6.7,6.7,2009-02-24
352,Empires Apart,5.0,5.0,2018-03-29
353,Metal Fatigue,8.5,8.5,2000-07-31
354,O.R.B.,6.5,6.5,2002-11-04
355,Magic: The Gathering - Battlegrounds,7.4,7.4,2003-11-18
356,Shad'O,6.6,6.6,2012-09-04
357,Beware Planet Earth!,5.8,5.8,2012-08-30
358,Infinite Crisis,6.7,6.7,2015-03-26
359,Men of War: Assault Squad 2,6.4,6.4,2014-03-20
360,Warhammer 40000: Armageddon,6.7,6.7,2014-11-26
361,Commander: Conquest of the Americas,5.3,5.3,2010-07-30
362,Blitzkrieg 3,3.6,3.6,2017-06-02
363,SPACECOM,7.6,7.6,2014-09-17
364,Starship Troopers: Terran Ascendancy,7.7,7.7,2000-11-07
365,Age of Empires II: HD Edition,7.9,7.9,2013-04-09
366,Battlezone: Combat Commander,6.0,6.0,2018-03-01
367,Cubemen 2,6.8,6.8,2013-04-08
368,Sudden Strike II,7.7,7.7,2002-09-26
369,Squad Assault: West Front,tbd,tbd,2003-11-02
370,Men of War: Vietnam,5.2,5.2,2011-09-08
371,Spacejacked,tbd,tbd,2016-02-26
372,Army Men: RTS,7.8,7.8,2002-03-24
373,Oil Rush,6.5,6.5,2011-09-23
374,The Lord of the Rings: War of the Ring,6.9,6.9,2003-11-04
375,Patrician IV: Rise of a Dynasty,8.4,8.4,2011-03-31
376,UFO: Aftershock,7.7,7.7,2005-11-23
377,Codename Panzers: Cold War,5.8,5.8,2009-03-10
378,Total War: Three Kingdoms - Eight Princes,5.0,5.0,2019-08-08
379,Warhammer 40000: Inquisitor - Martyr,6.4,6.4,2018-06-05
380,Champions of Anteria,6.7,6.7,2016-08-30
381,Project Earth: Starmageddon,5.4,5.4,2002-04-29
382,Earth 2150: Lost Souls,7.0,7.0,2002-09-09
383,Pacific Storm,5.9,5.9,2006-10-02
384,Faces of War,8.5,8.5,2006-09-12
385,Age of Mythology: Extended Edition,7.2,7.2,2014-05-08
386,Far Gate,tbd,tbd,2001-09-10
387,Theatre of War,6.2,6.2,2007-04-19
388,Desperados 2: Cooper's Revenge,6.7,6.7,2006-05-05
389,Patrician IV,6.3,6.3,2010-09-17
390,Hegemony: Philip of Macedon,8.1,8.1,2010-11-05
391,American Conquest: Fight Back,7.8,7.8,2003-09-29
392,Medieval Conquest,8.3,8.3,2004-09-06
393,Stronghold: Crusader II,6.1,6.1,2014-09-22
394,Hearts of Iron III: Semper Fi,6.0,6.0,2010-06-07
395,Hinterland,6.7,6.7,2008-09-30
396,Squad Assault: Second Wave,tbd,tbd,2005-08-31
397,Heroes of Annihilated Empires,7.7,7.7,2006-11-16
398,I Zombie,5.4,5.4,2013-11-01
399,Crusader Kings II: Jade Dragon,tbd,tbd,2017-11-16
400,Warhammer: Mark of Chaos - Battle March,7.6,7.6,2008-09-02
401,Axis & Allies,8.5,8.5,2004-11-02
402,War the Game,7.1,7.1,2015-01-12
403,S.W.I.N.E.,8.1,8.1,2001-11-19
404,Lords of the Realm III,3.7,3.7,2004-03-17
405,War for the Overworld,7.7,7.7,2015-04-02
406,Naval War: Arctic Circle,5.8,5.8,2012-04-10
407,Star Trek Away Team,6.7,6.7,2001-03-19
408,Rise & Fall: Civilizations at War,8.8,8.8,2006-06-12
409,Warrior Kings: Battles,8.3,8.3,2003-09-30
410,Command & Conquer: Red Alert 3 - Uprising,6.8,6.8,2009-03-12
411,Star Trek: Deep Space Nine: Dominion Wars,6.3,6.3,2001-06-10
412,Command & Conquer 4: Tiberian Twilight,2.1,2.1,2010-03-16
413,Officers,7.2,7.2,2009-07-14
414,Theatre of War 2: Africa 1943,6.5,6.5,2009-04-24
415,WorldShift,7.3,7.3,2009-11-16
416,Imperium Romanum,7.5,7.5,2008-03-11
417,Empire Earth: The Art of Conquest,7.8,7.8,2002-09-17
